l1;td1;rs1;l2;td2;rs2;l3;td3;rs3
488.17197;0.34088;0.53125;2317.30710;0.02160;0.65625;613.47687;0.03785;0.37500
488.17197;0.01730;0.53125;2744.24370;0.07395;0.62500;320.97644;0.04664;0.34375
488.17197;0.02084;0.46875;2744.24370;0.10454;0.62500;320.97644;0.00237;0.34375
488.17197;0.07705;0.56250;2744.24370;0.18100;0.59375;320.97644;0.04370;0.53125
488.17197;0.08317;0.53125;2744.24370;0.09993;0.59375;320.97644;0.24311;0.53125
447.95360;0.02876;0.53125;2744.24370;0.05719;0.56250;320.97644;0.06772;0.53125
447.95360;0.01330;0.53125;2753.63010;0.04282;0.56250;399.60263;0.02843;0.53125
447.95360;0.05450;0.53125;2753.63010;0.12673;0.56250;399.60263;0.02660;0.53125
447.95360;0.02241;0.53125;2753.63010;0.03298;0.56250;399.60263;0.03515;0.50000
447.95360;0.04266;0.53125;2753.63010;0.02165;0.56250;399.60263;0.01473;0.46875
436.67886;0.07111;0.53125;2753.63010;0.03066;0.56250;399.60263;0.02802;0.46875
436.67886;0.00659;0.53125;2976.02700;0.01883;0.53125;433.48126;0.06764;0.43750
436.67886;0.01969;0.46875;2976.02700;0.01594;0.53125;433.48126;0.07753;0.40625
436.67886;0.05866;0.46875;2976.02700;0.03600;0.53125;433.48126;0.01938;0.40625
436.67886;0.03426;0.43750;2976.02700;0.07284;0.53125;433.48126;0.01241;0.40625
417.36270;0.06742;0.43750;2976.02700;0.01471;0.53125;433.48126;0.01944;0.37500
417.36270;0.03170;0.43750;2722.67260;0.03200;0.53125;383.00410;0.01348;0.37500
417.36270;0.00000;0.43750;2722.67260;0.01090;0.53125;383.00410;0.02042;0.37500
417.36270;0.02543;0.53125;2722.67260;0.00933;0.53125;383.00410;0.02604;0.46875
417.36270;0.16441;0.53125;2722.67260;0.02123;0.53125;383.00410;0.19904;0.46875
412.74410;0.01615;0.53125;2722.67260;0.01609;0.53125;383.00410;0.00329;0.46875
412.74410;0.00030;0.53125;2834.86550;0.02485;0.53125;427.58005;0.11081;0.43750
412.74410;0.03905;0.53125;2834.86550;0.03384;0.53125;427.58005;0.09615;0.40625
412.74410;0.02354;0.53125;2834.86550;0.01023;0.53125;427.58005;0.03914;0.40625
412.74410;0.02661;0.53125;2834.86550;0.01307;0.53125;427.58005;0.06023;0.40625
447.22018;0.05083;0.50000;2834.86550;0.05259;0.53125;427.58005;0.03369;0.37500
447.22018;0.02947;0.46875;2803.36470;0.09159;0.53125;421.67420;0.01762;0.37500
447.22018;0.01034;0.46875;2803.36470;0.06427;0.53125;421.67420;0.04737;0.37500
447.22018;0.06370;0.46875;2803.36470;0.05675;0.53125;421.67420;0.00743;0.34375
447.22018;0.03831;0.43750;2803.36470;0.02064;0.53125;421.67420;0.02554;0.34375
459.00232;0.11281;0.43750;2803.36470;0.03961;0.53125;421.67420;0.00594;0.34375
459.00232;0.01517;0.40625;2868.10520;0.07267;0.53125;383.09497;0.05028;0.34375
459.00232;0.00531;0.37500;2868.10520;0.03750;0.53125;383.09497;0.03969;0.31250
459.00232;0.01250;0.53125;2868.10520;0.04643;0.53125;383.09497;0.04389;0.46875
459.00232;0.24599;0.53125;2868.10520;0.04312;0.53125;383.09497;0.23383;0.46875
469.22540;0.07855;0.53125;2868.10520;0.04701;0.53125;383.09497;0.05136;0.43750
469.22540;0.00519;0.53125;2981.98730;0.06629;0.53125;458.34003;0.18420;0.43750
469.22540;0.00326;0.53125;2981.98730;0.09689;0.53125;458.34003;0.02146;0.40625
469.22540;0.01543;0.50000;2981.98730;0.08851;0.53125;458.34003;0.00406;0.40625
469.22540;0.00995;0.46875;2981.98730;0.10241;0.53125;458.34003;0.03228;0.40625
589.37660;0.10989;0.46875;2981.98730;0.07557;0.53125;458.34003;0.01497;0.37500
589.37660;0.03752;0.46875;3116.72000;0.39436;0.53125;415.07080;0.00213;0.37500
589.37660;0.12108;0.43750;3116.72000;0.00000;0.53125;415.07080;0.03220;0.37500
589.37660;0.09393;0.43750;3116.72000;0.07956;0.53125;415.07080;0.02342;0.34375
589.37660;0.00612;0.40625;3116.72000;0.29537;0.53125;415.07080;0.02022;0.34375
450.71982;0.02368;0.37500;3116.72000;0.33183;0.53125;415.07080;0.04976;0.34375
450.71982;0.01064;0.37500;3439.81500;0.05508;0.53125;391.57780;0.00399;0.34375
450.71982;0.02049;0.37500;3439.81500;0.07158;0.53125;391.57780;0.01676;0.34375
450.71982;0.00506;0.53125;3439.81500;0.09367;0.53125;391.57780;0.01756;0.34375
450.71982;0.25519;0.53125;3439.81500;0.03965;0.53125;391.57780;0.02155;0.34375
458.21457;0.11522;0.53125;3439.81500;0.01118;0.53125;391.57780;0.01357;0.34375
458.21457;0.00266;0.50000;3771.71500;0.04710;0.53125;388.51110;0.00905;0.31250
458.21457;0.07424;0.50000;3771.71500;0.05615;0.53125;388.51110;0.07105;0.31250
458.21457;0.08222;0.46875;3771.71500;0.05162;0.53125;388.51110;0.05428;0.28125
458.21457;0.06759;0.46875;3771.71500;0.05029;0.53125;388.51110;0.00985;0.28125
583.30206;0.13332;0.43750;3771.71500;0.04178;0.53125;388.51110;0.04763;0.21875
583.30206;0.05961;0.43750;4085.47660;0.08462;0.53125;406.57504;0.01836;0.21875
583.30206;0.00160;0.43750;4085.47660;0.06360;0.53125;406.57504;0.01517;0.18750
583.30206;0.10165;0.37500;4085.47660;0.02501;0.53125;406.57504;0.00186;0.18750
583.30206;0.01597;0.37500;4085.47660;0.04045;0.53125;406.57504;0.00612;0.18750
449.67532;0.01011;0.37500;4085.47660;0.08302;0.53125;406.57504;0.01304;0.18750
449.67532;0.01703;0.37500;4320.04150;0.06546;0.53125;371.73886;0.01171;0.18750
449.67532;0.00665;0.34375;4320.04150;0.03805;0.53125;371.73886;0.02395;0.12500
449.67532;0.00692;0.53125;4320.04150;0.03060;0.53125;371.73886;0.02076;0.37500
