,ANN,BAYESIAN,SDG
,"0,014","-0,163","-0,040"
,"0,049","-0,173","-0,004"
,"0,076","-0,182","-0,037"
,"0,072","-0,178","-0,048"
,"0,052","-0,176","-0,027"
,"0,083","-0,166","-0,037"
,"0,061","-0,168","-0,054"
,"0,016","-0,170","-0,032"
,"0,042","-0,174","-0,038"
,"0,046","-0,179","-0,034"
,"0,033","-0,174","-0,179"
,"0,044","-0,160","-0,042"
,"0,060","-0,267","-0,198"
,"0,056","-0,173","-0,130"
,"0,116","-0,150","-0,092"
,"0,044","-0,161","-0,104"
,"0,055","-0,154","-0,113"
,"0,066","-0,123","-0,119"
,"0,070","-0,139","-0,132"
,"0,094","-0,133","-0,132"
,"0,086","-0,124","-0,136"
,"0,099","-0,133","-0,145"
,"0,089","-0,119","-0,148"
,"0,052","-0,122","-0,148"
,"0,042","-0,128","-0,154"
,"0,050","-0,113","-0,173"
,"0,057","-0,117","-0,173"
,"0,053","-0,141","-0,176"
,"0,069","-0,121","-0,180"
,"0,109","-0,138","-0,006"
,"0,013","-0,123","-0,063"
,"0,079","-0,134","-0,052"
,"0,062","-0,122","-0,054"
,"0,068","-0,134","-0,049"
,"0,084","-0,125","-0,056"
,"0,108","-0,131","-0,050"
,"0,099","-0,144","-0,059"
,"0,095","-0,113","-0,066"
,"0,090","-0,102","-0,067"
,"0,060","-0,132","-0,081"
,"0,063","-0,090","-0,067"
,"0,078","-0,083","-0,071"
,"0,069","-0,087","-0,085"
,"0,069","-0,081","-0,091"
,"0,133","-0,089","0,090"
,"0,053","-0,076","-0,010"
,"0,128","-0,076","0,077"
,"0,104","-0,081","0,019"
,"0,124","-0,117","0,062"
,"0,118","-0,050","0,048"
,"0,105","-0,050","0,045"
,"0,074","-0,061","0,044"
,"0,098","-0,066","0,061"
,"-0,090","-0,064","0,048"
,"0,038","-0,067","-0,043"
,"0,052","-0,062","0,020"
,"0,065","-0,046","0,050"
,"0,072","-0,064","0,034"
,"0,068","-0,065","0,036"
,"0,131","-0,115","0,057"
,"0,099","-0,188","-0,022"
,"0,132","-0,228","-0,019"
,"0,132","-0,099","0,058"
,"0,104","-4,691","0,047"
,"0,127","-0,190","0,032"
,"0,117","-0,139","0,031"
,"0,077","-0,113","0,031"
